PASS
BenchmarkGoroWait	 2000000	       725 ns/op	      52 B/op	       3 allocs/op
BenchmarkGoroSend	 5000000	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoroSendBuf1	 3000000	       518 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoroSendBuf100	20000000	        89.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntAssign	500000000	         3.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntInc	500000000	         3.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntAdd	500000000	         3.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntSub	500000000	         3.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntMul	500000000	         3.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntDiv	100000000	        11.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntMod	100000000	        11.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkPrintln	10000000	       200 ns/op	      16 B/op	       1 allocs/op
BenchmarkEmptyPrint	10000000	       206 ns/op	      16 B/op	       1 allocs/op
BenchmarkPrintPctd	10000000	       236 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPctb	 5000000	       250 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPctc	10000000	       201 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPcto	10000000	       231 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPctxInt	10000000	       229 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPctU	10000000	       236 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPcts	10000000	       250 ns/op	      16 B/op	       1 allocs/op
BenchmarkPrintPctq	 3000000	       467 ns/op	      32 B/op	       4 allocs/op
BenchmarkPrintPctxString	 5000000	       331 ns/op	      24 B/op	       2 allocs/op
BenchmarkPrintPctxByte	10000000	       216 ns/op	       4 B/op	       1 allocs/op
BenchmarkPrintPctt	10000000	       181 ns/op	       1 B/op	       1 allocs/op
BenchmarkPrintPctT	 5000000	       338 ns/op	      32 B/op	       2 allocs/op
BenchmarkPrintPctf	 2000000	       783 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPcte	 3000000	       407 ns/op	       8 B/op	       1 allocs/op
BenchmarkPrintPctp	10000000	       191 ns/op	       0 B/op	       0 allocs/op
BenchmarkPrintStringer	 3000000	       514 ns/op	      24 B/op	       2 allocs/op
BenchmarkAbs	300000000	         3.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkCos	100000000	        15.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSin	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkPow	20000000	       111 ns/op	       0 B/op	       0 allocs/op
BenchmarkLog	100000000	        16.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkExp	100000000	        17.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSqrt	300000000	         4.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMax	300000000	         4.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMin	300000000	         4.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkRand	50000000	        30.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringIndex	100000000	        12.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringReplace	 3000000	       492 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringToUpper	 1000000	      1008 ns/op	      96 B/op	       2 allocs/op
BenchmarkStringToLower	 1000000	      1038 ns/op	      96 B/op	       2 allocs/op
ok  	github.com/PuerkitoBio/gocostmodel	221.737s
